"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.9080836430988,135.626619243334,60.1437803035606,37.0735508223622,82.0350963593208,1681.49944300766,1661.5,1603.36208691932,1581,1658.5,1029,1593,77.202973386374
"2002/2003",2003,120,120,100,30.8846916986587,114.790754706933,65.4281915604206,37.2585460194695,82.9744490128403,1754.59110633103,1690.5,1706.70463071162,1598,1770.5,1046,1712.5,81.836275250684
"2003/2004",2004,120,120,100,47.625018434672,191.912259774631,66.9385174158755,57.7150062455032,92.1471575821804,2049.86323850761,1839,1813.92204222682,1873,1885,1453,1868,86.5329403129781
"2004/2005",2005,121,121,100,42.3488192827662,182.220740256063,61.4284330113846,48.4382296728628,87.799129745091,2068.22286457498,1980,1968.222404087,1891,2037,1360,2002,87.841718661031
"2005/2006",2006,120,120,100,35.1071874984669,161.35355846813,56.7273938822339,38.9884407951544,81.6055712731872,1830.97462508254,1816.5,1803.30287472108,1744,1855,1145,1814,81.9302303209413
"2006/2007",2007,120,120,100,33.8641044769133,155.404952511344,62.619615778542,37.5977849984378,83.5567914777978,1795.31925414225,1724,1765.91544821168,1641,1811.5,1104,1765,82.9397487049466
"2007/2008",2008,120,120,100,47.4774848263416,187.527407554607,70.280247537148,57.70732811686,92.1795068834894,2008.00041734223,1827.5,1700.04795200095,1886.5,1810.5,1555,1783.5,83.1411572585613
"2008/2009",2009,121,121,100,36.1176574043962,184.423488256809,64.2469211178226,43.4666007693905,88.8247305277707,1935.54994969652,1819.5,1791.19650582418,1781.5,1841.5,1291,1820.5,86.3973863527355
"2009/2010",2010,120,120,100,34.6287967912522,149.990072683737,64.1363001173693,41.1633044136986,85.5798482320828,1879.769156206,1827.5,1842.51679342293,1772.5,1849.5,1193,1831.5,86.221961711421
"2010/2011",2011,120,120,100,46.3488134874951,173.977145573512,61.9181586797094,49.9374292216005,86.1213361884684,2092.71960533148,2064,2018.03275762744,1980,2109.5,1439,2097.5,87.0334594773117
"2011/2012",2012,120,120,100,46.0893537430143,172.165178055549,64.106496570088,53.7150250919938,88.7263301899246,2113.10189934579,2018.5,1976.23965518448,1963.5,2051,1495,2033,86.4871418921707
"2012/2013",2013,121,121,100,41.9633703185052,182.307978137264,65.2791919961947,50.851043141842,89.3863572257431,1875.12232074796,1734,1681.18620838249,1774,1740,1327,1706,83.8045116515905
"2013/2014",2014,120,120,100,43.8140678907825,164.409888775482,68.6135371628723,52.8242832803632,89.8953425627147,1993.93015296315,1845.5,1788.76688010407,1832.5,1888,1389,1862,85.3222421008616
"2014/2015",2015,120,120,100,33.5674926436217,136.963887922774,74.7237471827418,50.4843583107157,91.7257260417996,1553.79055265932,1251.5,1060.6252985057,1379,1225,1229,1114.5,68.833795744041
"2015/2016",2016,120,120,100,40.6647305371386,155.91510303896,62.0718747029231,46.6419562771418,85.9931757344337,1952.66250855462,1894,1870.35458075129,1815.5,1926,1282,1885,84.9995331730615
"2016/2017",2017,121,121,100,37.0430143744765,162.714313378537,63.9492678747065,45.1945975353888,85.6739186240787,1730.70776309082,1585.5,1464.94988311628,1582,1633,1215,1526.5,75.1451052661198
"2017/2018",2018,120,120,100,33.8750733596435,138.832752377764,67.0017816384463,44.221459003356,87.2373124488026,1723.25647566949,1575.5,1473.26354764846,1559.5,1603.5,1152,1524,79.9483937864293
