"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.9700372485062,183.251329350122,67.6528305093803,49.6773263760337,89.6843826428866,1916.47465130322,1796,1746.82234430037,1792,1803,1348,1789.5,85.2989623255492
"2002/2003",2003,120,120,100,42.5348882788008,173.223661328166,73.5063576165706,51.218520794547,90.0333030471602,1991.07496995104,1862.5,1784.7785215519,1853,1889,1472,1869.5,84.5207622660908
"2003/2004",2004,120,120,100,50.9190698766111,209.794463888916,75.6009834020115,65.0303067708129,98.5239273293486,1990.0143369841,1744.5,1569.8263523673,1849,1706,1640,1697,83.3908146250536
"2004/2005",2005,121,121,100,59.182052066859,246.274083161543,68.9575574650679,69.3150207221037,96.3003200329267,2242.31014361012,2064,1882.20318455908,2113,2064.5,1836,2052,88.4669334049727
"2005/2006",2006,120,120,100,51.9333939555318,224.197089445318,63.694231703897,58.2253146664271,90.5195268849108,2122.66583572803,2018,1928.82527286317,2020.5,2011,1566,1999,87.4373131498129
"2006/2007",2007,120,120,100,50.7861175752848,227.156280878515,69.8961384237876,57.4820571312282,91.7725793502054,2028.7038459051,1877.5,1783.92118205436,1880.5,1905,1532,1881.5,85.0709807501322
"2007/2008",2008,120,120,100,53.0165839480669,207.858878006915,79.2196952300421,66.4249092681709,97.9443011449986,1969.27209915662,1714.5,1539.61941658431,1848,1665.5,1610,1661.5,81.1889658679895
"2008/2009",2009,121,121,100,49.2012357421583,240.708465420195,71.9987401805309,59.7790922901915,95.9623539960703,2036.37139668327,1840.5,1719.07445686043,1900,1825,1613,1823,84.8715312908839
"2009/2010",2010,120,120,100,47.8386110949133,196.304788742427,72.0495627840964,58.524606361847,93.3984542291248,2061.24338310831,1876.5,1797.43774600132,1908.5,1892,1522,1887,86.7182740900444
"2010/2011",2011,120,120,100,58.8038388947426,231.027199191564,69.5129491767579,67.941980592569,94.9318939331987,2262.79385969671,2089,1922.3884638205,2114,2064,1811,2064,89.766955227615
"2011/2012",2012,120,120,100,60.2876962439524,216.684757494164,72.1482223836584,71.9595263145386,97.1580136041022,2214.11514182117,2013,1822.57797078126,2107,1969.5,1860,1967,86.3971217710123
"2012/2013",2013,121,121,100,44.8722276986837,196.691616862423,73.4487910610894,58.8367616962212,96.2847923796546,1960.47281477222,1749.5,1649.84033500772,1800,1743.5,1444,1737,86.3475578009122
"2013/2014",2014,120,120,100,53.9544760470571,212.802252348929,76.7115874395319,68.7134173734235,97.9877063324025,2074.1843405317,1805,1619.98899680976,1951,1756,1783,1748.5,83.3538996888558
"2014/2015",2015,120,120,100,26.8778299091122,124.3041733792,83.4295959318948,45.6042730242258,95.3786202315276,1429.32711114852,1154,1040.76697328418,1316,1116,1081,1077.5,70.6230566929366
"2015/2016",2016,120,120,100,51.1180834003524,195.244181051741,69.8367215596642,60.021364702354,93.6357948597996,2132.9450265238,1971,1864.41063574615,1970.5,1984.5,1572,1977.5,87.673173559403
"2016/2017",2017,121,121,100,40.9980741171759,190.127400634298,71.673979457076,54.1543966529894,93.2137023859145,1809.84150427883,1617.5,1484.33161287458,1685,1574.5,1388,1539.5,80.3500432788505
"2017/2018",2018,120,120,100,38.1906042706526,166.062178129903,75.3840826276602,49.9620535313486,92.7177452945428,1760.85671449076,1556,1477.68100599113,1637,1557,1301,1532,77.7793223818826
"2018/2019",2019,120,120,100,46.7916064312019,169.319730528968,84.6633085717727,62.4956093006157,97.5076883995593,1863.97722200157,1608,1424.34742158944,1742.5,1582.5,1515,1566,77.9568827727749
"2019/2020",2020,120,120,100,42.7539918497107,197.848437229397,68.6124669427902,54.0615174479002,92.5614634721994,1944.77792186292,1744.5,1663.81873609062,1825,1727.5,1473,1715,85.5156539236882
"2020/2021",2021,121,121,100,44.6865515900845,201.962553624091,65.2793477094577,53.4612367806468,91.1570496542499,2040.00939412061,1884,1840.20348759988,1872,1941.5,1459,1900,86.223063569611
"2021/2022",2022,120,120,100,45.052234040314,183.615559632834,84.0243189814507,63.1326244852869,98.2049679434803,1765.0842393372,1523,1328.82832014136,1675,1439.5,1488,1439,78.7574736684574
"2022/2023",2023,120,120,100,50.4208830527392,181.638088575171,74.0516243813955,65.9486512127271,96.3150006699772,1950.63144410246,1724,1538.2284994699,1828.5,1663,1573,1643.5,81.3511086606113
"2023/2024",2024,120,120,100,52.2770919008318,244.889983810389,64.2296393727573,59.7444495090666,91.9224042228828,2204.33863401541,2046.5,1950.57716626128,2048,2051.5,1654,2041.5,88.9096871459433
"2024/2025",2025,121,121,100,55.9834997770147,213.013013097797,68.5110273115876,65.2780724890052,94.3948660359232,2233.31920517804,2033,1944.36097282157,2080.5,2047.5,1697,2041.5,89.7250842575213
"2025/2026",2026,120,120,100,44.4256584813075,193.065272028907,70.9362382005697,58.9053016590919,94.0299096010515,2039.04850346975,1846.5,1692.58208062087,1919,1809.5,1592,1792.5,85.2601251309939
"2026/2027",2027,120,120,100,40.5581703580001,184.874466337752,85.9454550831429,58.4399561452573,98.6730265855117,1677.55999686154,1376.5,1254.86058254182,1537.5,1327,1384,1320.5,78.2210607922152
"2027/2028",2028,120,120,100,48.3984610899379,158.15344001455,74.4220444843618,62.7269934433012,95.7909921930868,2039.45457159485,1829.5,1711.39528784768,1902,1807,1598,1802,84.9337842575455
"2028/2029",2029,121,121,100,61.832818190295,262.528127520453,74.4712610994697,74.309104749769,98.531679836683,2070.8707975596,1844.5,1665.31610266082,1949.5,1803.5,1719,1802,86.9711102437336
"2029/2030",2030,120,120,100,54.6795100040721,221.059142293495,74.9805392002792,66.6654144056018,96.3860574872483,2018.54450040261,1795,1668.70662603163,1894.5,1767.5,1574,1767,84.256213277773
"2030/2031",2031,120,120,100,46.6890731271258,232.695948819569,66.4422522542736,56.2477081580043,92.2574779828391,1963.12907988217,1796.5,1717.47825792469,1845,1797,1462,1781.5,85.4239019472061
"2031/2032",2032,120,120,100,48.0291119891033,211.655323087256,74.9248077277876,60.0918660710316,94.9714708992995,1898.00585583117,1678,1509.27092066234,1758.5,1657.5,1525,1635.5,81.813129330666
"2032/2033",2033,121,121,100,55.7879720408244,216.188806783809,73.8403559451433,64.2188450428367,95.7244793192693,2122.56893992022,1917,1799.25759805208,1980.5,1937,1671,1921,86.8135066142049
"2033/2034",2034,120,120,100,53.5455271261027,227.269152188903,76.3709117860242,67.9037596876718,98.9277806599007,1979.66626524972,1704.5,1563.51405361283,1855,1671,1639,1669.5,84.8668012038715
"2034/2035",2035,120,120,100,49.169581148441,179.435152022903,81.4856717670812,64.6796670729387,98.635763341118,1858.7020064285,1633.5,1425.00126514408,1758,1554,1537,1552.5,78.778103849213
"2035/2036",2036,120,120,100,54.5262893597273,202.674119152171,72.0223870020883,68.2222447263484,95.8981537475469,2045.62598922149,1839.5,1634.60536669756,1916,1784.5,1686,1767,84.6971000501981
"2036/2037",2037,121,121,100,48.1999638446087,206.24351678979,71.8329923789671,56.6225411081898,93.126230395241,2063.91173777702,1898.5,1851.51758937447,1896,1931,1487,1927.5,87.7828140143547
"2037/2038",2038,120,120,100,58.2280250444773,207.66252044096,82.4515769546947,74.7579412346625,101.027556093428,1989.78071084066,1679.5,1440.74045378237,1880.5,1601.5,1772,1599.5,80.773658939399
"2038/2039",2039,120,120,100,45.7744619085987,189.496272949245,70.718061539033,53.6714105406911,90.6009320225019,2010.92081547847,1922,1796.89519499729,1906.5,1907,1513,1893,85.1845432643104
"2039/2040",2040,120,120,100,40.8420183042182,178.628219717982,62.4893441649437,48.7683351585107,88.5074588015482,2058.15793463177,1963.5,1950.40739899082,1917,2001,1378,1983,90.1320114852306
"2040/2041",2041,121,121,100,52.6181289088116,217.889005774138,69.9417411930754,63.4931464128141,94.8579847181768,2160.99365444123,1978,1870.45888675448,2003.5,1975,1621,1970.5,89.141070892756
"2041/2042",2042,120,120,100,59.2012196066942,193.61826199939,74.5901136769797,71.515711072106,97.6217628897588,2272.84436910821,2043.5,1895.65145736859,2097,2050,1849,2048.5,89.1190812496616
"2042/2043",2043,120,120,100,31.2708619290134,136.005602540424,65.3108221616077,35.9693360193031,83.1785248204777,1763.54912321671,1701,1736.61953005946,1620.5,1778,1071,1729.5,83.9757355075453
"2043/2044",2044,120,120,100,57.799493667474,236.952468835068,78.6631064833014,73.6810834184745,100.328420001932,2090.01143218897,1818,1574.80499298163,1981.5,1740,1849,1740,84.4169343077028
"2044/2045",2045,121,121,100,60.1035857554224,219.70335639567,71.5158223132438,67.066888632041,95.2475785280779,2253.86518157739,2096.5,1949.68113894131,2116,2083.5,1837,2079.5,87.9448402915041
"2045/2046",2046,120,120,100,45.4600714433006,199.623896582755,78.1083334597824,59.8485948148527,97.7586397875655,1883.66815660926,1650,1498.87445169443,1732.5,1598.5,1514,1595,82.6141378382272
"2046/2047",2047,120,120,100,54.7841747233839,198.335288902391,77.4902585564512,69.4853683759869,98.6317908566397,2043.3770213947,1804.5,1591.77365159446,1890.5,1757.5,1707,1737.5,83.9852933606517
"2047/2048",2048,120,120,100,48.6707707985491,171.343284372536,82.5299201082485,57.0810344357936,92.4253100922118,1947.21617335535,1785,1701.09433730191,1787.5,1799,1475,1787.5,81.5459084982604
"2048/2049",2049,121,121,100,61.8533872227882,251.897407250066,70.360429380843,73.8810016068722,98.2647482787107,2285.89716346507,2091,1908.51689087063,2141,2073.5,1855,2073.5,89.2640996491182
"2049/2050",2050,120,120,100,57.1186292785082,229.057200228151,77.544033035596,73.5009941366066,100.698658669432,2091.62911777527,1775,1585.08858866853,1947,1706,1835,1706,83.9754057713226
"2050/2051",2051,120,120,100,63.9936163304959,244.359288007757,81.5613700956254,80.9716874949272,102.670191282621,2057.6530302871,1741,1417.86133988426,1964.5,1607.5,1898,1604.5,81.3273352847091
"2051/2052",2052,120,120,100,51.2553154979736,202.960828047536,72.7482187606834,65.606257577668,96.6990587101344,2000.26295648856,1747,1588.21292524246,1862.5,1713.5,1584,1697.5,83.8431254750567
"2052/2053",2053,121,121,100,45.0816133508609,173.648307724339,74.2285135590718,53.1304513083719,90.4724943530933,1945.56445334794,1805,1697.07078359491,1826.5,1807,1473,1785,83.2346815280198
"2053/2054",2054,120,120,100,46.5799821935898,172.18518965563,69.4757175321881,53.8814211268668,89.6042790354779,1982.9309680447,1869,1813.5856453856,1842.5,1885,1433,1862,85.5096406357825
"2054/2055",2055,120,120,100,53.1327587590881,208.006212924276,66.4354304258126,62.9693970540575,92.7594934775161,2145.66006914101,1949.5,1883.72701777709,1987.5,1972.5,1596,1956,87.0402707828816
