"Date","JDay","Coef","VIP","Tmean","Tstdev"
801,-152,-0.0550839318588798,0.481394668350182,18.3297030697121,1.91400375274828
802,-151,-0.0280285625083315,0.45832238366688,18.3084558062045,1.88438861184042
803,-150,0.00344275152733103,0.485628711936435,18.2714772727273,1.84436800090689
804,-149,0.0267715220527857,0.490478906817112,18.2374166666667,1.88627593219114
805,-148,0.0250187438754578,0.483224768067962,18.1960909090909,1.88456715688753
806,-147,-0.000384940692413793,0.570891142857755,18.1714772727273,1.85533671378233
807,-146,0.00696538895697744,0.646085202717056,18.1268939393939,1.8909380945659
808,-145,0.0229094976787596,0.680533015421171,18.0779696969697,1.85089045186842
809,-144,0.0362421686858612,0.710161158921036,18.0313939393939,1.7671726493526
810,-143,0.0347744319951894,0.755575305314093,17.9973181818182,1.73127978701841
811,-142,0.0251377165745699,0.837569438943263,17.9128560606061,1.67291761555966
812,-141,0.0259976362655379,0.939884768916094,17.7847803030303,1.6792746027869
813,-140,-0.00972300646830684,1.05905417605529,17.6893939393939,1.66199965517678
814,-139,-0.0386471210577427,1.0885291514585,17.648803030303,1.67452786070793
815,-138,-0.0696499946575989,1.12565240021657,17.6124318181818,1.7290525535827
816,-137,-0.0913618336775431,1.15151244051614,17.5325606060606,1.73382657559733
817,-136,-0.100857148037275,1.15994989587837,17.4531287878788,1.71203263103707
818,-135,-0.109199588748411,1.1989402072346,17.3685227272727,1.70858181904306
819,-134,-0.134228956287096,1.28167342018444,17.2793106060606,1.73364262046098
820,-133,-0.13177688199766,1.30606339337324,17.1633456780303,1.78735531666039
821,-132,-0.141022158021365,1.3601072357049,17.0896610530303,1.81662138437702
822,-131,-0.161702668865305,1.40493359937043,17.0028352954545,1.83346336565436
823,-130,-0.171151045093377,1.40010061986216,16.9060398409091,1.84104657770996
824,-129,-0.152471618250084,1.27731812358748,16.7963504469697,1.76482330008147
825,-128,-0.146317708279463,1.22083624915095,16.6567140833333,1.70843734367916
826,-127,-0.123425611885441,1.11374524139439,16.4783959015152,1.66943544061316
827,-126,-0.09739862145055,1.00656577594533,16.3480549924242,1.70006017531706
828,-125,-0.0537312971981568,0.867047539885538,16.2479110530303,1.73134097307052
829,-124,-0.0315087001707036,0.761745899818427,16.1636080227273,1.71114990498318
830,-123,0.00732848505910785,0.71028737021638,16.0584110530303,1.67006793574956
831,-122,0.00589356578411409,0.749783600908305,15.9533987083333,1.66433204579654
901,-121,-0.00810679582647687,0.787120672839794,15.7539924242424,1.67672971131458
902,-120,0.00104074539377638,0.778632824636739,15.6218333333333,1.6977143137371
903,-119,0.0177146510617252,0.746200628760903,15.5274848484848,1.68783267506045
904,-118,0.0329423255415606,0.748522686595487,15.4705378787879,1.71128925121628
905,-117,0.0512599343330323,0.731299158144082,15.3867045454545,1.78224275550901
906,-116,0.0698971581628267,0.748684553209186,15.3422878787879,1.81868339184635
907,-115,0.0719916136809774,0.779051572318618,15.285696969697,1.81837005278823
908,-114,0.0613896909475454,0.800872472466403,15.1697651515151,1.85920766111005
909,-113,0.0404529166937524,0.770182577475553,15.0452878787879,1.90959337794096
910,-112,0.0234939415535463,0.751902083432925,14.9368181818182,1.95148339173338
911,-111,0.0142929676974254,0.70010806136508,14.8124015151515,1.94932352400271
912,-110,0.0446035282640901,0.624180998537498,14.7299393939394,1.93025429940287
913,-109,0.0730162326631214,0.664404849383396,14.6206742424242,1.9366384953106
914,-108,0.060691502850983,0.657385447384884,14.5045757575758,1.93750506529423
915,-107,0.021991370109189,0.62255212223897,14.3595984848485,1.98035507952786
916,-106,-0.00905501477683092,0.609537052775582,14.2323106060606,2.03342332967782
917,-105,-0.0503813015330295,0.633986307779213,14.1257196969697,2.11255191506915
918,-104,-0.0815385967471122,0.658147283503362,13.9537954545455,2.07894842747953
919,-103,-0.0890252944700551,0.657906777575632,13.8561439393939,2.06789020868998
920,-102,-0.0669668847425495,0.59985576230913,13.7614772727273,2.03811659228971
921,-101,-0.0412058560632226,0.547859936170353,13.6607651515151,2.01905902293228
922,-100,0.00170730181409022,0.535320453469715,13.5786136363636,1.96787945635259
923,-99,0.00773713071965194,0.516459986837822,13.4702272727273,1.88194066746669
924,-98,-0.0104668897347526,0.453679242902361,13.4444621212121,1.86179408263454
925,-97,-0.0078923538644772,0.406318489084616,13.3554545454545,1.85819465777634
926,-96,-0.00812369023443628,0.350768428819774,13.2310984848485,1.83662618127253
927,-95,-0.00466817666124416,0.315381206284539,13.1339621212121,1.81926188469292
928,-94,-0.0100666336254677,0.282480005833496,12.9879090909091,1.87569542820877
929,-93,-0.00744338673270614,0.294975905647237,12.9463106060606,1.88325291080772
930,-92,-0.0195998656541917,0.310455258761114,12.8549166666667,1.83224961845279
1001,-91,-0.0254863322818557,0.366602243260114,12.7560075757576,1.77543295768181
1002,-90,-0.0454982179990476,0.456985460622367,12.6616515151515,1.75905841389038
1003,-89,-0.0735981829353804,0.503036594586604,12.5001363636364,1.73617695835782
1004,-88,-0.0625261292351356,0.531461218449348,12.4076136363636,1.77324940085463
1005,-87,-0.0405126698584713,0.530642422055399,12.2574318181818,1.81901081799071
1006,-86,-0.00969757935978488,0.559102494435068,12.1151818181818,1.90100659374909
1007,-85,0.0262073385759989,0.647172611137318,11.9607575757576,1.94526004828676
1008,-84,0.0396882786417204,0.644522392695663,11.7563636363636,2.00528786184946
1009,-83,0.0442714879913131,0.635709719464141,11.5703484848485,2.09571888904597
1010,-82,0.0347520227173777,0.616053395723089,11.3715833333333,2.16608758885246
1011,-81,0.0348559256247653,0.552174340364004,11.1467803030303,2.24278037098812
1012,-80,0.00220936014784537,0.460227788968206,10.8992045454545,2.26578539152163
1013,-79,-0.0126407084257566,0.395855859866555,10.6539696969697,2.31299013631421
1014,-78,-0.0353871425755613,0.338199916108023,10.4909242424242,2.34374771414808
1015,-77,-0.0567776117919453,0.338462939209653,10.2852727272727,2.38485789637043
1016,-76,-0.0648060040199198,0.335211289041955,10.0842196969697,2.39132630961606
1017,-75,-0.0700235934629529,0.362090939243483,9.92837121212121,2.38412912081972
1018,-74,-0.0692554164713965,0.409987450302414,9.81933333333333,2.38591445103575
1019,-73,-0.0741991458564388,0.476236938682319,9.72686363636364,2.35666041168002
1020,-72,-0.0647156783430698,0.498021537669558,9.64620454545454,2.30029728345595
1021,-71,-0.0619836680197016,0.561316248398455,9.54592424242425,2.31075766065775
1022,-70,-0.0847516749502017,0.649282964317451,9.43475,2.35790594532869
